insertId,labels.build_id,labels.build_step,logName,receiveLocation,receiveTimestamp,resource.labels.location,resource.labels.reasoning_engine_id,resource.labels.resource_container,resource.type,severity,textPayload,timestamp
"'704b670d-160c-41ea-bff4-095c6a05253c-460","'704b670d-160c-41ea-bff4-095c6a05253c",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:53:30.083703965Z",,7978949174584410112,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langgraph_sdk-0.2.3-py3-none-any.whl.metadata (1.5 kB)","'2025-12-03T01:53:29.964126487Z"
"'5f83981a-90bb-43d5-84ed-19747804f71c-430","'5f83981a-90bb-43d5-84ed-19747804f71c",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:36.196061437Z",,1280970628777639936,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading orjson-3.11.3-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata (41 kB)","'2025-12-03T01:52:35.962308590Z"
"'5f83981a-90bb-43d5-84ed-19747804f71c-429","'5f83981a-90bb-43d5-84ed-19747804f71c",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:36.196061437Z",,1280970628777639936,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2: Collecting orjson>=3.10.1 (from langgraph-sdk<0.3.0,>=0.2.2->langgraph<1.1.0,>=1.0.2->langchain>=0.3.0->-r ./user_code/requirements.txt (line 3))","'2025-12-03T01:52:35.943922527Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-428","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:26.845861488Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading packaging-24.2-py3-none-any.whl.metadata (3.2 kB)","'2025-12-03T01:52:26.751268962Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-427","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:26.845861488Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2: Collecting packaging>=14.3 (from google-cloud-aiplatform>=1.112.0->google-cloud-aiplatform[agent_engines,langchain]>=1.112.0->-r ./user_code/requirements.txt (line 1))","'2025-12-03T01:52:26.735644161Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-454","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:26.909567502Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langgraph_sdk-0.2.10-py3-none-any.whl.metadata (1.6 kB)","'2025-12-03T01:52:26.723524538Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-453","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:26.909567502Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2: Collecting langgraph-sdk<0.3.0,>=0.2.2 (from langgraph<1.1.0,>=1.0.2->langchain>=0.3.0->-r ./user_code/requirements.txt (line 3))","'2025-12-03T01:52:26.706944362Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-452","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:23.910043279Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langsmith-0.3.45-py3-none-any.whl.metadata (15 kB)","'2025-12-03T01:52:23.891081493Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-426","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:23.849131330Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading PyYAML-6.0.2-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata (2.1 kB)","'2025-12-03T01:52:23.577857764Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-425","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:23.849131330Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2: Collecting pyyaml<7.0.0,>=5.3.0 (from langchain-core<2.0.0,>=1.1.0->langchain>=0.3.0->-r ./user_code/requirements.txt (line 3))","'2025-12-03T01:52:23.563567173Z"
